date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:59:58	71896/71896	---M--	200	added ('OK')	text/html	etag:%22118d8-532b46a641800%22	https://www.free-css.com/assets/files/free-css-templates/preview/page248/outing/assets/css/fonts/fontawesome-webfont.woff2?v=4.6.3	C:/Users/Janaka%20Ishan/OneDrive/Desktop/janaka/www.free-css.com/assets/files/free-css-templates/preview/page248/outing/assets/css/fonts/fontawesome-webfont5b62.html	(from https://www.free-css.com/assets/files/free-css-templates/preview/page248/outing/assets/css/plugins.css)
15:00:03	52916/52916	---MC-	200	added ('OK')	text/javascript	date:Mon,%2012%20Jun%202023%2018:23:07%20GMT	http://www.google-analytics.com/analytics.js	C:/Users/Janaka%20Ishan/OneDrive/Desktop/janaka/www.google-analytics.com/analytics.js	(from https://www.free-css.com/assets/files/free-css-templates/preview/page248/outing/)
15:00:03	76518/76518	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2212ae6-532b46a641800%22	https://www.free-css.com/assets/files/free-css-templates/preview/page248/outing/assets/css/fonts/fontawesome-webfont.eot?v=4.6.3	C:/Users/Janaka%20Ishan/OneDrive/Desktop/janaka/www.free-css.com/assets/files/free-css-templates/preview/page248/outing/assets/css/fonts/fontawesome-webfont5b62.eot	(from https://www.free-css.com/assets/files/free-css-templates/preview/page248/outing/assets/css/plugins.css)
15:00:03	76518/76518	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2212ae6-532b46a641800%22	https://www.free-css.com/assets/files/free-css-templates/preview/page248/outing/assets/css/fonts/fontawesome-webfont.eot?	C:/Users/Janaka%20Ishan/OneDrive/Desktop/janaka/www.free-css.com/assets/files/free-css-templates/preview/page248/outing/assets/css/fonts/fontawesome-webfontd41d.eot	(from https://www.free-css.com/assets/files/free-css-templates/preview/page248/outing/assets/css/plugins.css)
15:00:03	90412/90412	---M--	200	added ('OK')	application/font-woff	etag:%221612c-532b46a641800%22	https://www.free-css.com/assets/files/free-css-templates/preview/page248/outing/assets/css/fonts/fontawesome-webfont.woff?v=4.6.3	C:/Users/Janaka%20Ishan/OneDrive/Desktop/janaka/www.free-css.com/assets/files/free-css-templates/preview/page248/outing/assets/css/fonts/fontawesome-webfont5b62.woff	(from https://www.free-css.com/assets/files/free-css-templates/preview/page248/outing/assets/css/plugins.css)
15:00:04	13576/13576	---M--	200	added ('OK')	text/html	etag:%223508-5464ba0cf8780%22	https://www.free-css.com/assets/files/free-css-templates/preview/page248/outing/assets/css/fonts/Poppins-Regular.woff2	C:/Users/Janaka%20Ishan/OneDrive/Desktop/janaka/www.free-css.com/assets/files/free-css-templates/preview/page248/outing/assets/css/fonts/Poppins-Regular.html	(from https://www.free-css.com/assets/files/free-css-templates/preview/page248/outing/assets/css/style.css)
15:00:04	391622/391622	---M--	200	added ('OK')	image/svg+xml	etag:%225f9c6-532b46a641800%22	https://www.free-css.com/assets/files/free-css-templates/preview/page248/outing/assets/css/fonts/fontawesome-webfont.svg?v=4.6.3	C:/Users/Janaka%20Ishan/OneDrive/Desktop/janaka/www.free-css.com/assets/files/free-css-templates/preview/page248/outing/assets/css/fonts/fontawesome-webfont5b62.svg	(from https://www.free-css.com/assets/files/free-css-templates/preview/page248/outing/assets/css/plugins.css)
15:00:04	152796/152796	---M--	200	added ('OK')	application/font-sfnt	etag:%22254dc-532b46a641800%22	https://www.free-css.com/assets/files/free-css-templates/preview/page248/outing/assets/css/fonts/fontawesome-webfont.ttf?v=4.6.3	C:/Users/Janaka%20Ishan/OneDrive/Desktop/janaka/www.free-css.com/assets/files/free-css-templates/preview/page248/outing/assets/css/fonts/fontawesome-webfont5b62.ttf	(from https://www.free-css.com/assets/files/free-css-templates/preview/page248/outing/assets/css/plugins.css)
15:00:04	160906/160906	---M--	200	added ('OK')	image/jpeg	etag:%222748a-5827c23755180%22	https://www.free-css.com/assets/files/free-css-templates/preview/page248/outing/assets/images/head-featured-bg.jpg	C:/Users/Janaka%20Ishan/OneDrive/Desktop/janaka/www.free-css.com/assets/files/free-css-templates/preview/page248/outing/assets/images/head-featured-bg.jpg	(from https://www.free-css.com/assets/files/free-css-templates/preview/page248/outing/assets/css/style.css)
15:00:05	189728/189728	---M--	200	added ('OK')	image/jpeg	etag:%222e520-5827c253f1500%22	https://www.free-css.com/assets/files/free-css-templates/preview/page248/outing/assets/images/about-video-bg.jpg	C:/Users/Janaka%20Ishan/OneDrive/Desktop/janaka/www.free-css.com/assets/files/free-css-templates/preview/page248/outing/assets/images/about-video-bg.jpg	(from https://www.free-css.com/assets/files/free-css-templates/preview/page248/outing/assets/css/style.css)
15:00:05	127953/127953	---M--	200	added ('OK')	image/jpeg	etag:%221f3d1-5827c23ef6380%22	https://www.free-css.com/assets/files/free-css-templates/preview/page248/outing/assets/images/testimonials-bg.jpg	C:/Users/Janaka%20Ishan/OneDrive/Desktop/janaka/www.free-css.com/assets/files/free-css-templates/preview/page248/outing/assets/images/testimonials-bg.jpg	(from https://www.free-css.com/assets/files/free-css-templates/preview/page248/outing/assets/css/style.css)
